,stock_id,date_id,seconds_in_bucket,imbalance_size,imbalance_buy_sell_flag,reference_price,matched_size,far_price,near_price,bid_price,bid_size,ask_price,ask_size,wap,target,time_id,row_id
4989109,129,458,200,4956415.5,1,1.001591,23968717.35,,,1.000646,12712.0,1.001591,8397.84,1.001215,1.7499924,25210,458_200_129
3984663,83,367,30,2075675.28,-1,1.000177,184940880.62,,,1.000177,327896.75,1.000527,123693.36,1.000431,-9.62019,20188,367_30_83
2846030,56,263,210,0.0,0,0.995927,5631143.58,,,0.995666,2285.2,0.996102,23662.17,0.995704,0.3004074,14486,263_210_56
4123491,111,379,370,159613.4,1,1.004718,4553923.71,1.006466,1.006466,1.004135,15024.56,1.004718,26342.72,1.004347,9.319782,20882,379_370_111
1674054,74,156,0,2901270.97,1,0.99937,19604500.63,,,0.999441,1260.9,1.000559,1262.31,1.0,-1.8197298,8580,156_0_74
3437872,37,317,190,23667497.02,1,0.998655,35902786.58,,,0.998444,708.75,0.998824,86973.12,0.998447,1.2898445,17454,317_190_37
4855325,145,446,110,159114.59,-1,1.000297,2153248.68,,,1.000297,13283.66,1.000669,35212.1,1.000399,3.44038,24541,446_110_145
4260407,27,392,70,4153057.46,1,1.000242,6668022.43,,,1.000043,15848.98,1.000641,7929.23,1.000442,-3.3402443,21567,392_70_27
2155431,187,200,150,8260953.68,-1,1.000339,26394826.78,,,1.000339,25794.0,1.000572,11610.0,1.000499,0.5996227,11015,200_150_187
3578196,16,330,60,263186.37,1,0.999975,4281356.75,,,0.999745,27985.85,1.000166,27474.3,0.999957,-9.809732,18156,330_60_16
4220846,66,388,290,2378153.2,-1,0.999244,3904664.2,,,0.999244,9253.0,0.999676,9997.56,0.999452,-17.870068,21369,388_290_66
3859522,142,355,370,9716622.55,1,1.002073,183747157.02,1.007325,1.007325,1.00175,558.89,1.002162,5032.08,1.001791,2.3400784,19562,355_370_142
3364816,181,310,380,1155624.28,1,1.002418,7325290.51,1.024126,1.013632,1.001938,167.08,1.002478,17051.34,1.001944,9.440184,17088,310_380_181
2852769,29,264,0,3109628.1,-1,1.000209,16417807.18,,,0.999896,1470.12,1.000521,7355.2,1.0,-0.8702278,14520,264_0_29
73000,68,6,510,0.0,0,1.000207,13537497.11,1.000207,1.000207,1.000034,41691.6,1.00012,11582.0,1.000102,-0.47028065,381,6_510_68
1764585,185,164,190,12748246.27,1,0.999507,10509720.56,,,0.999063,10394.67,0.999539,10399.62,0.999301,-16.639828,9039,164_190_185
817982,92,76,510,733483.7,1,0.996683,5262670.07,0.999214,0.998631,0.995623,18782.75,0.996763,227155.34,0.99571,4.5502186,4231,76_510_92
4685004,24,430,400,2125002.19,-1,1.001493,18331898.75,0.983041,0.993939,1.001493,19974.89,1.001617,60336.48,1.001524,1.2397766,23690,430_400_24
1812783,117,168,440,262260.77,1,1.003289,4554258.84,1.010146,1.004051,1.002528,330184.4,1.003289,52732.68,1.003184,2.5200844,9284,168_440_117
2502407,107,231,540,461654.95,-1,0.995392,7539046.32,0.994102,0.994747,0.995263,78005.39,0.996037,224932.15,0.995462,0.9894371,12759,231_540_107
4075867,87,375,190,0.0,0,1.001908,11405056.27,,,1.001375,6010.4,1.001908,25332.29,1.001477,6.25968,20644,375_190_87
2271953,94,210,510,249794.26,-1,1.000566,2792815.31,0.999224,0.999224,1.000512,37646.74,1.000619,14538.42,1.00059,-8.100271,11601,210_510_94
2303259,158,213,430,896397.25,1,1.003626,4427902.99,1.049003,1.022533,1.002736,15327.2,1.003626,28109.76,1.003051,2.2101402,11758,213_430_158
1409672,11,131,330,3186598.97,1,1.003921,8892199.95,1.010116,1.008483,1.002816,4802.86,1.004017,1672.56,1.003707,-0.06020069,7238,131_330_11
1146673,7,107,180,2748874.01,-1,0.999184,48143830.86,,,0.999058,17823.75,0.999758,713.45,0.999731,5.3203106,5903,107_180_7
2081463,47,193,290,1435022.92,-1,0.996404,4047091.44,,,0.995496,8670.49,0.996793,6837.87,0.996221,-0.84996223,10644,193_290_47
554323,88,52,190,3409660.27,-1,1.001023,74071033.74,,,1.001007,63464.0,1.001086,36177.33,1.001057,0.770092,2879,52_190_88
2652391,44,245,380,2962081.93,1,1.002897,28727201.85,1.004615,1.004615,1.002799,56607.72,1.002897,817.52,1.002896,-2.4402142,13513,245_380_44
4594580,0,422,280,4034430.77,1,1.000309,15529871.08,,,1.000691,24799.68,1.001074,10468.0,1.00096,-10.60009,23238,422_280_0
4605504,124,423,270,0.0,0,0.999811,3701911.36,,,0.99966,39821.72,0.999811,21100.8,0.999759,10.800362,23292,423_270_124
1225820,160,114,340,4468031.94,-1,1.000016,211814274.83,0.993978,0.995875,1.000016,20519.02,1.000131,8695.5,1.000097,-1.7398596,6304,114_340_160
4967682,102,456,230,0.0,0,0.999768,12569040.97,,,0.999407,4485.51,1.000189,1662.6,0.999978,-3.3402443,25103,456_230_102
1641511,36,153,0,0.0,0,1.000589,15905145.94,,,0.999908,882.06,1.000657,6326.16,1.0,-2.5099516,8415,153_0_36
1056334,92,98,540,331159.18,1,1.008335,4805750.46,1.008832,1.00853,1.00734,22693.2,1.008441,47139.85,1.007698,0.590086,5444,98_540_92
2383845,149,221,80,19046292.02,1,0.995594,79181945.26,,,0.99541,807.75,0.995656,76270.48,0.995412,-6.08027,12163,221_80_149
2751545,96,254,410,215072.66,1,0.999777,38944835.84,0.999952,0.999952,0.999601,173492.16,0.999777,60061.15,0.999731,3.0899048,14011,254_410_96
3177566,58,293,370,14988823.5,-1,0.99447,142234815.45,0.968914,0.973199,0.994317,3100.08,0.99483,109334.22,0.994331,3.349781,16152,293_370_58
1457006,65,135,530,6882761.82,1,0.999759,40368942.42,1.003784,1.002363,0.999522,503987.4,0.999759,423424.38,0.99965,-5.6499243,7478,135_530_65
2447603,27,226,540,145328.53,-1,0.994933,18561788.84,0.994733,0.994733,0.994933,30592.55,0.995233,1893.92,0.995215,1.0097027,12484,226_540_27
2020240,147,187,500,274590.07,1,1.003025,66643916.04,1.00327,1.00327,1.002779,49804.02,1.003025,16687.2,1.002963,5.6397915,10335,187_500_147
3152535,101,291,210,1169336.18,-1,0.999133,1676537.79,,,0.998888,23621.37,1.001463,94729.08,0.999403,5.5897236,16026,291_210_101
4983379,199,457,460,1742676.42,-1,1.001535,15904624.19,0.996489,0.999372,1.001535,87788.61,1.001895,130465.4,1.00168,-4.5001507,25181,457_460_199
4938528,148,453,420,1445874.15,-1,0.998633,23415949.6,0.948846,0.984931,0.998633,166598.6,0.998786,19680.0,0.99877,4.5895576,24957,453_420_148
1734398,139,161,310,4883033.03,-1,0.996642,106617579.1,,0.974313,0.996429,186.98,0.996802,59856.0,0.99643,-5.400181,8886,161_310_139
1778601,14,165,360,0.0,0,0.997132,181410236.78,0.997132,0.997132,0.996853,1394.91,0.997218,16279.9,0.996882,14.810562,9111,165_360_14
4560963,183,419,240,7860702.94,-1,0.999987,32933079.83,,,0.999987,17635.59,1.00011,8128.0,1.000071,9.959936,23069,419_240_183
2895524,199,267,490,550530.96,-1,0.996957,15521362.05,0.995827,0.995827,0.99658,55354.32,0.996957,71363.12,0.996744,4.7397614,14734,267_490_199
3295782,147,304,230,0.0,0,0.998365,9479073.93,,,0.998116,9428.2,0.998365,49119.12,0.998156,6.4504147,16743,304_230_147
2675438,7,247,440,20884367.84,1,0.999966,119046366.84,1.019836,1.019836,0.999837,10284.12,1.000244,46765.0,0.999911,7.6305866,13629,247_440_7
4450518,138,409,220,1503771.5,-1,1.000971,2776135.28,,,1.000971,16893.24,1.001525,50166.05,1.00111,-3.2001734,22517,409_220_138
2441915,111,226,250,654209.53,-1,0.997426,1206166.53,,,0.997426,10848.0,0.997977,12825.81,0.997678,3.1900406,12455,226_250_111
799888,29,75,140,5075617.85,-1,1.001286,17310260.8,,,1.001164,32611.5,1.001762,9136.68,1.001631,-5.7297945,4139,75_140_29
467280,155,44,100,0.0,0,0.999031,1622993.71,,,0.998876,4770.04,0.999031,7865.34,0.998934,-1.8399954,2430,44_100_155
3927406,26,361,470,583142.73,1,0.999851,9516093.38,1.001234,0.999851,0.99916,651030.3,0.999851,539603.82,0.999538,-1.8000603,19902,361_470_26
4374403,23,402,270,12776034.94,1,1.002234,13599632.23,,,1.001874,111.31,1.002234,26501.3,1.001876,-7.209778,22137,402_270_23
4771641,61,438,330,0.0,0,1.002389,30231214.04,1.002389,1.002389,1.002389,77640.08,1.003331,108172.05,1.002783,10.180473,24123,438_330_61
2670823,169,247,200,0.0,0,0.996919,13657201.92,,,0.996543,42438.4,0.996957,73501.95,0.996695,3.2103062,13605,247_200_169
3667421,41,338,120,44087927.77,1,1.000047,155993024.96,,,0.999921,43462.88,1.000047,11346.51,1.000021,1.72019,18602,338_120_41
498045,69,47,40,0.0,0,0.999141,2180774.58,,,0.999141,49369.32,0.999751,18274.85,0.999586,1.3899803,2589,47_40_69
1009784,33,94,380,689403.27,1,1.010712,16146809.51,1.026863,1.020966,1.010243,62410.5,1.010846,17949.96,1.010712,7.6794624,5208,94_380_33
4248503,123,391,20,3186216.82,-1,1.000483,31599334.6,,,1.000362,40406.07,1.000604,42151.5,1.00048,1.0502338,21507,391_20_123
811050,19,76,160,584693.67,1,1.002305,4476085.78,,,1.001668,3461.4,1.002305,1904.98,1.002079,7.699728,4196,76_160_19
2476197,165,229,320,7807.05,1,0.999738,19114821.86,1.000378,0.999738,0.999097,71635.2,0.999738,234899.28,0.999247,-18.020271,12627,229_320_165
2236311,73,207,370,0.0,0,0.998695,10566799.09,0.998695,0.998695,0.998695,61172.1,0.999094,128783.34,0.998824,-2.2399426,11422,207_370_73
1101838,89,103,100,0.0,0,1.001978,4403060.17,,,1.001331,139.32,1.001978,1394.1,1.00139,4.529953,5675,103_100_89
1369822,155,127,500,551503.27,1,0.99755,5706947.72,0.999417,0.998842,0.997263,59813.67,0.997694,6950.0,0.997649,-6.9200993,7035,127_500_155
4993091,111,458,400,395820.55,1,1.001442,4229452.64,1.030675,1.006157,1.000499,35002.39,1.001442,48979.44,1.000893,-7.5799227,25230,458_400_111
1071692,84,100,220,17497747.34,1,0.999793,236753848.94,,,0.999589,2950.5,0.999881,2951.36,0.999735,-2.989769,5522,100_220_84
4700153,173,432,50,4189087.91,1,1.000306,2584340.04,,,1.000108,53867.25,1.000306,2017.9,1.000299,-5.5098534,23765,432_50_173
4640942,162,426,390,1903680.29,-1,0.997282,21282137.22,0.991738,0.991738,0.997139,93253.14,0.997521,72418.9,0.997354,3.579855,23469,426_390_162
118062,10,11,110,1808079.79,1,1.000396,5168029.89,,,0.999975,40612.92,1.000396,57337.72,1.00015,-3.0499697,616,11_110_10
1457077,139,135,530,3309306.94,1,0.995681,145711638.55,0.996236,0.996236,0.995379,78960.0,0.995732,2567.11,0.995721,-11.99007,7478,135_530_139
390261,149,36,530,0.0,0,0.999213,14621050.77,0.999213,0.999213,0.999213,616.35,0.999457,8836.5,0.999229,-2.7298927,2033,36_530_149
3408840,5,314,390,0.0,0,0.998382,12263741.33,0.998382,0.998382,0.998204,7621.44,0.998382,448.4,0.998372,-2.1898746,17309,314_390_5
2595236,2,240,260,0.0,0,1.001486,2454580.86,,,1.00117,19117.11,1.001801,12372.1,1.001553,5.979538,13226,240_260_2
4444607,27,408,480,140664.22,1,0.999808,18588821.95,1.000312,0.999909,0.999405,5158.92,0.999707,11710.32,0.999498,0.3504753,22488,408_480_27
2688039,71,248,520,6569735.25,1,1.000745,33099147.85,1.002676,1.002084,1.000604,165425.34,1.000759,54676.93,1.000721,8.699894,13692,248_520_71
4819623,43,442,530,668382.62,-1,0.996678,8471854.13,0.994998,0.995386,0.996614,31154.46,0.996937,121881.2,0.99668,-2.1797419,24363,442_530_43
3146845,183,290,470,2859357.06,1,1.005749,45533822.17,1.007357,1.007197,1.005588,45007.2,1.005749,16755.36,1.005705,-5.2797794,15997,290_470_183
1164379,183,108,520,2444585.24,1,0.994475,87113713.23,0.99471,0.99471,0.99424,38097.0,0.994592,57335.13,0.99438,-6.3598156,5992,108_520_183
2992777,141,276,430,2923325.72,1,0.996603,72965981.14,0.997253,0.997145,0.996494,45413.42,0.996603,58289.96,0.996542,-1.4400482,15223,276_430_141
3079538,138,284,390,74890.37,1,0.996722,2681399.49,0.997413,0.99724,0.99655,17489.16,0.997067,23100.0,0.996773,11.869669,15659,284_390_138
2194707,60,203,480,0.0,0,1.007681,32322140.19,1.007681,1.007681,1.007275,16392.2,1.007748,10585.39,1.007563,6.760359,11213,203_480_60
1499428,190,139,480,4518125.9,1,0.997257,38267498.75,1.00045,0.998644,0.996943,65125.35,0.997257,33906.33,0.997149,-2.6202202,7693,139_480_190
1519154,16,141,390,0.0,0,1.000551,14352620.74,1.000551,1.000551,1.000175,61433.68,1.000627,3991.0,1.000599,-4.8297644,7794,141_390_16
1512162,118,141,30,8588157.86,1,0.999749,26338799.72,,,0.998989,13814.1,0.999835,373296.6,0.999019,4.810095,7758,141_30_118
2676325,98,247,480,0.0,0,0.997693,3995127.25,0.997693,0.997693,0.996507,142002.0,0.997693,270944.97,0.996915,4.080534,13633,247_480_98
142647,19,13,290,306993.93,1,1.000617,5037823.83,,,0.999707,395.24,1.000769,19783.0,0.999727,1.950264,744,13_290_19
3692123,143,340,250,89.28,1,1.002415,425715.24,,,0.999615,104251.14,1.002415,84806.62,1.00116,-9.760261,18725,340_250_143
4824380,0,443,220,6728944.97,-1,1.000923,21327460.53,,,1.000923,85744.98,1.001093,60819.88,1.001023,-10.070205,24387,443_220_0
1027775,98,96,190,2965844.53,-1,1.000057,18581765.42,,,1.000057,98938.47,1.000777,80133.5,1.000455,-3.9499998,5299,96_190_98
3434126,91,317,0,415991.59,1,0.999498,4379579.6,,,0.999967,4266.0,1.00067,85380.0,1.0,8.749962,17435,317_0_91
1497078,4,139,370,0.0,0,0.99715,46842227.18,0.99715,0.99715,0.996979,20986.8,0.99715,5247.6,0.997115,-4.0197372,7682,139_370_4
4034900,120,371,340,3296701.31,-1,0.996377,8577081.95,,0.970783,0.996377,26248.32,0.996674,85935.34,0.996446,0.859499,20439,371_340_120
4456904,124,409,540,383033.67,-1,0.995966,7471202.01,0.995195,0.995503,0.995966,48825.85,0.99612,177611.28,0.995999,-4.8601627,22549,409_540_124
3382553,118,312,170,0.0,0,0.99907,11437502.93,,,0.997797,185368.17,0.999224,2519.91,0.999205,-10.719895,17177,312_170_118
2424482,190,224,470,900504.23,1,0.999291,19451931.14,1.000884,1.000088,0.999159,150.56,0.999557,24852.3,0.999161,-5.570054,12367,224_470_190
1732036,141,161,190,316805.11,-1,0.997637,69106846.55,,,0.997637,1845.2,0.997864,6591.5,0.997686,3.2401085,8874,161_190_141
2015253,109,187,250,34870515.5,-1,0.999462,69396814.08,,,0.999462,49480.47,0.999753,78821.4,0.999574,34.229755,10310,187_250_109
4497179,199,413,350,2207949.75,-1,0.999923,24971186.18,0.970955,0.981956,0.999923,83282.58,1.000289,289522.64,1.000005,4.1401386,22750,413_350_199
4576603,23,420,480,1446614.11,-1,1.00267,39719762.08,1.002135,1.002135,1.002759,11245.0,1.002848,18555.9,1.002792,5.810261,23148,420_480_23
3456166,131,319,0,1338457.61,1,1.000031,7863219.32,,,0.999375,38085.0,1.000687,41948.5,1.0,0.28967857,17545,319_0_131
3908592,12,360,80,32332609.23,1,1.000155,54975346.46,,,1.000006,18363.4,1.000155,4591.53,1.000125,11.7099285,19808,360_80_12
4238871,91,390,90,413349.9,-1,1.001457,6634344.08,,,1.001457,24088.0,1.001956,7230.0,1.001841,-3.5500526,21459,390_90_91
3873606,26,356,530,275615.85,-1,1.000442,15620812.32,1.000442,1.000442,1.000442,649553.85,1.001151,754742.24,1.00077,2.1994114,19633,356_530_26
3125248,77,288,490,1241951.77,-1,1.000533,41120233.67,0.999614,0.999862,1.000462,16419.8,1.000816,87792.0,1.000518,2.4104118,15889,288_490_77
2108309,28,195,540,0.0,0,0.998858,16503678.32,0.998858,0.998858,0.998699,27418.8,0.998858,25044.0,0.998782,-4.8798323,10779,195_540_28
3260070,35,301,100,1115726.2,-1,1.000193,8440935.93,,,1.000193,932.14,1.000547,24498.53,1.000206,-1.0502338,16565,301_100_35
1617394,153,150,420,216261.02,1,0.995484,912385.06,0.998692,0.997623,0.99495,12319.82,0.995484,20482.0,0.995151,-15.770197,8292,150_420_153
1568890,110,146,160,5573484.18,1,1.000611,42959681.53,,,1.000452,45360.0,1.000611,10081.6,1.000582,-0.5197525,8046,146_160_110
51400,171,4,480,0.0,0,1.000113,16816722.44,1.000113,1.000113,0.999832,25636.8,1.000206,16670.16,1.000059,3.8397312,268,4_480_171
3626922,142,334,290,206517917.23,1,1.006533,635913187.16,,,1.006698,109702.0,1.008442,142859.6,1.007456,8.289814,18399,334_290_142
179694,10,17,20,4787.43,-1,0.99991,4191110.28,,,0.999857,29486.38,1.00038,8620.65,1.000261,-1.6802549,937,17_20_10
2885358,182,266,530,0.0,0,0.998198,6802458.73,0.998198,0.998198,0.997928,196467.6,0.998198,80676.96,0.998119,-3.039837,14683,266_530_182
526779,92,49,420,0.0,0,0.996715,7341890.76,0.996715,0.996715,0.996702,73250.0,0.998035,74814.96,0.997362,-6.700158,2737,49_420_92
2604480,92,241,170,520283.87,-1,1.003194,2032433.73,,,1.002894,59251.8,1.004773,2139.2,1.004707,-12.220144,13272,241_170_92
4081783,3,375,490,1823233.19,-1,1.002523,120215581.6,1.001704,1.002089,1.002474,68527.41,1.002667,66040.61,1.002573,0.12993813,20674,375_490_3
2975213,88,275,100,23305223.9,-1,0.998608,27596496.29,,,0.998562,21903.0,0.999018,12928.67,0.998849,-5.4597855,15135,275_100_88
3942691,111,363,130,1004713.86,1,1.002443,644127.0,,,1.001908,33543.75,1.002443,7522.76,1.002345,0.269413,19978,363_130_111
1050121,185,98,220,2207973.35,1,1.00122,15501798.82,,,1.000628,21992.1,1.001249,37917.6,1.000856,0.95009804,5412,98_220_185
4487903,123,412,440,5940631.46,-1,1.001026,50019634.34,0.989761,0.991763,1.001026,75571.65,1.001152,26073.48,1.00112,-7.029772,22704,412_440_123
305475,31,28,520,0.0,0,0.991129,1468040.73,0.991129,0.991129,0.991129,429744.42,0.992155,190682.73,0.99184,1.1301041,1592,28_520_31
2434964,125,225,450,964995.36,-1,0.995118,22780124.01,0.991823,0.992866,0.995118,22426.52,0.995619,238.7,0.995614,11.119843,12420,225_450_125
4410105,125,405,400,61063.01,-1,1.000616,11846658.17,0.999834,1.000478,1.000202,28690.2,1.001261,870.32,1.001229,-10.390282,22315,405_400_125
4189760,180,385,380,5081.26,1,1.002184,1367976.08,1.004333,1.002184,1.001826,4475.2,1.002184,16256.38,1.001903,7.4899197,21213,385_380_180
3531045,65,325,450,3803972.4,1,1.000639,36931119.86,1.049349,1.008234,1.000377,133356.2,1.000639,72522.58,1.000547,0.77962875,17920,325_450_65
946225,107,88,450,7312.41,-1,1.004431,10613015.21,1.003766,1.004431,1.004357,272.01,1.005354,15519.96,1.004374,6.3097477,4885,88_450_107
1935696,101,180,80,0.0,0,1.000008,1363772.93,,,0.997248,84836.85,1.000099,4616.71,0.999952,-24.840237,9908,180_80_101
2055358,11,191,80,0.0,0,1.008059,3475147.48,,,1.00797,23900.1,1.008413,2277.2,1.008374,0.9095669,10513,191_80_11
658374,183,62,40,3352072.08,-1,1.0,39842557.74,,,1.0,30578.64,1.000135,14920.23,1.000091,8.8799,3414,62_40_183
2855398,71,264,130,2289036.22,1,1.002099,14622229.53,,,1.001353,6281.73,1.002271,52395.75,1.001451,12.099743,14533,264_130_71
2400524,112,222,370,42207536.24,1,0.99797,1254194973.29,1.006123,1.004581,0.997897,43067.62,0.99797,23097.9,0.997945,-7.0399046,12247,222_370_112
3247135,100,300,0,0.0,0,0.999112,947150.21,,,0.999112,8853.12,1.000548,5471.45,1.0,-21.719933,16500,300_0_100
1665542,33,155,120,265366.67,-1,1.002416,1859233.37,,,1.002278,8570.34,1.002968,27763.76,1.00244,2.9098988,8537,155_120_33
5125887,107,470,440,9326786.47,1,0.99762,43901742.61,1.013196,1.010846,0.997199,22740.0,0.997865,35555.0,0.997459,5.7697296,25894,470_440_107
3099110,8,286,280,0.0,0,1.000047,27718821.02,,,0.999958,16320.51,1.001315,50843.8,1.000288,-7.3200464,15758,286_280_8
4732505,125,435,20,4783.42,-1,0.999728,2441139.69,,,0.99942,20488.5,1.000474,2051.01,1.000378,12.530088,23927,435_20_125
4242099,119,390,250,576362.9,-1,1.000054,3153805.97,,,1.000054,4981.8,1.000536,2325.96,1.000383,8.089542,21475,390_250_119
5174574,194,475,120,2081313.91,1,1.001024,543422.08,,,1.000602,48229.5,1.001024,16359.9,1.000917,-1.7797947,26137,475_120_194
2717932,115,251,370,0.0,0,1.001276,15834573.2,1.001276,1.001276,1.000956,13156.2,1.001595,50025.48,1.001089,5.5503845,13842,251_370_115
2658025,107,246,110,0.0,0,0.99862,3551694.15,,,0.99862,5735.28,0.999498,71754.0,0.998685,-10.160208,13541,246_110_107
2001731,50,186,120,0.0,0,0.999641,12227042.27,,,0.999029,16568.86,0.999641,17150.7,0.99933,-7.0500374,10242,186_120_50
3158131,126,291,490,2848690.28,1,0.99946,91545561.88,1.000439,1.000047,0.999264,15930.72,0.99946,266227.91,0.999276,1.8703938,16054,291_490_126
2594210,171,240,200,2299550.03,-1,1.002286,7786173.87,,,1.002286,226.84,1.00264,11346.0,1.002293,2.9194355,13220,240_200_171
1126391,16,105,250,0.0,0,1.001075,21359277.66,,,1.001075,1192.44,1.002099,1790.49,1.001485,-10.2597475,5800,105_250_16
3756605,25,346,180,11931170.71,-1,1.000677,126001918.17,,,1.000215,16141.17,1.001046,542.1,1.001019,-8.410215,19048,346_180_25
1031760,145,96,390,304516.92,1,1.001752,30721203.74,1.002138,1.002138,1.001559,23424.94,1.001752,15585.0,1.001675,4.6396255,5319,96_390_145
5081496,116,466,420,1272114.74,-1,0.999012,13039566.08,0.983464,0.988253,0.998925,7964.9,0.999099,1731.8,0.999068,2.9194355,25672,466_420_116
2554443,4,236,410,736612.46,-1,1.00002,31610971.33,0.989873,0.996206,1.00002,6253.2,1.000092,6948.5,1.000054,1.9705296,13021,236_410_4
1448193,119,135,80,311578.82,-1,0.999553,7107274.58,,,0.998172,72822.75,1.000845,68299.68,0.999553,-8.419752,7433,135_80_119
3935580,0,362,330,5968503.06,1,1.001427,46876034.6,1.029874,1.023672,1.001329,4272.66,1.001427,14447.08,1.001351,-3.7002563,19943,362_330_0
2503213,117,232,30,349270.18,-1,0.999648,9373223.32,,,0.999648,88962.3,1.00053,262843.3,0.999871,5.1903725,12763,232_30_117
1052315,12,98,340,165583.7,-1,1.000687,75039442.85,0.999963,1.000325,1.000551,24740.8,1.000959,29833.65,1.000736,3.5703182,5424,98_340_12
797442,133,75,10,12590594.11,-1,0.999719,33918701.3,,,0.999609,7239.8,1.000189,17023.4,0.999782,-0.069737434,4126,75_10_133
2560950,144,237,180,3590752.74,-1,1.000862,6348954.64,,,1.000736,47682.0,1.000988,238.47,1.000986,-1.5699863,13053,237_180_144
438216,191,41,250,0.0,0,1.003229,182000739.11,,,1.002883,8604.86,1.003242,19563.5,1.002993,7.1799755,2280,41_250_191
982105,133,92,70,3397502.18,1,1.001896,48436071.21,,,1.001339,341.64,1.001896,2050.98,1.001418,3.809929,5067,92_70_133
4922849,69,452,190,1525614.82,1,1.000536,770055.61,,,0.998641,294477.06,1.000536,166531.2,0.999852,-2.4598837,24879,452_190_69
3132356,21,289,300,1505681.0,-1,1.00097,6063844.08,0.900669,0.955007,1.000153,4896.0,1.000562,5289.84,1.00035,0.3004074,15925,289_300_21
2651958,9,245,360,204468.37,1,1.000823,7693697.1,1.006382,1.001904,1.000515,10821.6,1.000823,35067.62,1.000588,2.0897388,13511,245_360_9
